Î» (nm)	photon flux (Î³/s/cm^2/nm)
1014.50	367276470890540.94
1015.50	366940977266334.69
1016.50	366627678848188.38
1017.50	366313053054494.12
1018.50	365997099885251.94
1019.50	365679819340461.81
1020.50	365363536356172.69
1021.50	365069461274977.44
1022.50	364774109445618.38
1023.50	364477480868095.38
1024.50	364179575542408.75
1025.50	363878080874947.62
1026.50	363551899256738.56
1027.50	363224390777280.25
1028.50	362895555436572.75
1029.50	362565393234615.88
1030.50	362231927482793.62
1031.50	361866132860150.00
1032.50	361498947436790.25
1033.50	361130371212714.50
1034.50	360760404187922.56
1035.50	360388810683159.50
1036.50	359992471143859.50
1037.50	359594695283948.62
1038.50	359195483103427.06
1039.50	358794834602294.50
1040.50	358392749780551.06
1041.50	357989810259429.31
1042.50	357585479354563.81
1043.50	357179713330046.12
1044.50	356772512185876.12
1045.50	356363875922053.88
1046.50	355917078645835.56
1047.50	355461773969206.31
1048.50	355004950615732.56
1049.50	354546608585414.19
1050.50	354086747878251.12
1051.50	353576989334649.06
1052.50	353047709415838.25
1053.50	352516784766314.44
1054.50	351984215386077.38
1055.50	351450001275127.38
1056.50	350914101918786.38
1057.50	350376530719685.88
1058.50	349837314662045.62
1059.50	349296453745865.38
1060.50	348753947971145.38
1061.50	348194989588618.25
1062.50	347616959061980.25
1063.50	347037223025348.25
1064.50	346455781478722.38
1065.50	345872634422102.50
1066.50	345298413480095.38
1067.50	344748560521546.38
1068.50	344197070802697.69
1069.50	343643944323549.44
1070.50	343089181084101.56
1071.50	342540812431940.75
1072.50	342055863558330.94
1073.50	341569414204870.94
1074.50	341081464371560.75
1075.50	340592014058400.50
1076.50	340101063265390.00
1077.50	339671019954239.94
1078.50	339245769945951.94
1079.50	338819146752807.00
1080.50	338391150374805.44
1081.50	337961780811947.12
1082.50	337599956206328.94
1083.50	337267877573994.81
1084.50	336934610295123.50
1085.50	336600154369714.56
1086.50	336264509797768.25
1087.50	335958164744225.38
1088.50	335686510479592.19
1089.50	335413789460135.38
1090.50	335140001685855.06
1091.50	334865147156751.44
1092.50	334596747750393.44
1093.50	334355617847051.38
1094.50	334113486760445.94
1095.50	333870354490577.00
1096.50	333626221037444.38
1097.50	333381086401048.31
1098.50	333160762737928.75
1099.50	332940844658096.25
1100.50	332719974863714.06
1101.50	332498153354782.38
1102.50	332275380131300.94
1103.50	332041445626719.25
1104.50	331801507754187.38
1105.50	331560590549237.19
1106.50	331318694011868.69
1107.50	331075818142081.81
1108.50	330818399588527.81
1109.50	330536862042136.31
1110.50	330254279024027.75
1111.50	329970650534202.12
1112.50	329685976572659.38
1113.50	329399761700319.38
1114.50	329105912292994.94
1115.50	328811004701423.19
1116.50	328515038925604.12
1117.50	328218014965537.94
1118.50	327919932821224.62
1119.50	327612893230588.62
1120.50	327302145904201.06
1121.50	326990321577399.31
1122.50	326677420250183.44
1123.50	326363441922553.44
1124.50	326037206694591.69
1125.50	325693772126403.62
1126.50	325349212059716.00
1127.50	325003526494528.62
1128.50	324656715430841.69
1129.50	324309986019007.12
1130.50	323978185299919.12
1131.50	323645289617975.69
1132.50	323311298973176.75
1133.50	322976213365522.25
1134.50	322640032795012.31
1135.50	322303511228831.12
1136.50	321966204257422.81
1137.50	321627804193569.62
1138.50	321288311037271.56
1139.50	320947724788528.50
1140.50	320611439978281.00
1141.50	320284552453766.94
1142.50	319956599660161.62
1143.50	319627581597465.25
1144.50	319297498265677.62
1145.50	318966349664798.88
1146.50	318604042524940.19
1147.50	318239686088619.25
1148.50	317874210263731.31
1149.50	317507615050276.19
1150.50	317139900448253.88
1151.50	316763159970915.25
1152.50	316379556013441.25
1153.50	315994808990676.44
1154.50	315608918902620.81
1155.50	315221885749274.25
1156.50	314837682859156.19
1157.50	314470460145148.00
1158.50	314102132539730.81
1159.50	313732700042905.06
1160.50	313362162654670.38
1161.50	312990520375027.12
1162.50	312614057862045.31
1163.50	312235373333561.69
1164.50	311855575612388.75
1165.50	311474664698526.38
